Coefficient,Explained_Var_Score,mean_abs_error
13.182728017855442,0.6906343106641641,6.349068179018776
2.7782750810748618,0.6906343106641641,6.349068179018776
2.4114584701216137,0.6906343106641641,6.349068179018776
2.3170786360216056,0.6906343106641641,6.349068179018776
2.1522021079569003,0.6906343106641641,6.349068179018776
1.9427120926023,0.6906343106641641,6.349068179018776
1.6751935463662972,0.6906343106641641,6.349068179018776
1.4017627544821536,0.6906343106641641,6.349068179018776
1.2330459557156508,0.6906343106641641,6.349068179018776
1.0221599067347482,0.6906343106641641,6.349068179018776
0.607418587840994,0.6906343106641641,6.349068179018776
0.4406857370490474,0.6906343106641641,6.349068179018776
0.43111986005023284,0.6906343106641641,6.349068179018776
0.3338741769693531,0.6906343106641641,6.349068179018776
0.3313603425833285,0.6906343106641641,6.349068179018776
0.20167419059562341,0.6906343106641641,6.349068179018776
0.19619862630234639,0.6906343106641641,6.349068179018776
0.13827366985165784,0.6906343106641641,6.349068179018776
0.10673294326245043,0.6906343106641641,6.349068179018776
0.01969473831491906,0.6906343106641641,6.349068179018776
3.552713678800501e-15,0.6906343106641641,6.349068179018776
4.440892098500626e-16,0.6906343106641641,6.349068179018776
2.220446049250313e-16,0.6906343106641641,6.349068179018776
